"word","class"
"бомбардировочный","negative"
"бомбардировщик","negative"
"бомбить","negative"
"бомбовоз","negative"
"бомбометание","negative"
"бомбометатель","negative"
"бомбомёт","negative"
"бомбёжка","negative"
"бомжатник","negative"
"бомжик","negative"
"бомжиха","negative"
"борзая","negative"
"борзость","negative"
"борзый","negative"
"бормотание","negative"
"бормотанье","negative"
"бородавка","negative"
"бородавчатый","negative"
"бородёнка","negative"
"борьба","negative"
"босячка","negative"
"боязливость","negative"
"боязливый","negative"
"боязнь","negative"
"бояться","negative"
"бракованный","negative"
"браковать","negative"
"браконьер","negative"
"браконьерский","negative"
"браконьерство","negative"
"бракоразводный","negative"
"бранить","negative"
"браниться","negative"
"бранный","negative"
"брань","negative"
"братоубийственный","negative"
"братоубийство","negative"
"братоубийца","negative"
"бредить","negative"
"бредовость","negative"
"бредовый","negative"
"брезгать","negative"
"брезгливость","negative"
"брезгливый","negative"
"брезговать","negative"
"бременить","negative"
"бремя","negative"
"бренность","negative"
"брехать","negative"
"брехня","negative"
"брехун","negative"
"брехунья","negative"
"брешь","negative"
"бритоголовый","negative"
"бродяга","negative"
"бродяжить","negative"
"бродяжка","negative"
"бродяжничать","negative"
"бродяжнический","negative"
"бродяжничество","negative"
"бродячий","negative"
"бронхиальный","negative"
"бронхопневмония","negative"
"бросаться","negative"
"броситься","negative"
"брошенность","negative"
"брыкаться","negative"
"брыкнуть","negative"
"брыкнуться","negative"
"брюзгливость","negative"
"брюзгливый","negative"
"брюзжание","negative"
"бряканье","negative"
"брякать","negative"
"брякнуть","negative"
"брякнуться","negative"
"бряцать","negative"
"бубнить","negative"
"бубнёж","negative"
"бубон","negative"
"бузить","negative"
"буйность","negative"
"буйный","negative"
"буйство","negative"
"буйствовать","negative"
"бука","negative"
"буки","negative"
"буксовать","negative"
"булимия","negative"
"буллинг","negative"
"бульварщина","negative"
"бумагомарание","negative"
"бумаженция","negative"
"бумажонка","negative"
"бунт","negative"
"бунтарка","negative"
"бунтарский","negative"
"бунтарство","negative"
"бунтарь","negative"
"бунтовать","negative"
"бунтовщик","negative"
"бунтовщица","negative"
"бунтовщический","negative"
"буран","negative"
"бурда","negative"
"буржуазия","negative"
"буржуазность","negative"
"буржуй","negative"
"буркнуть","negative"
"бурность","negative"
"бурчание","negative"
"бурчать","negative"
"бурьян","negative"
"бухать","negative"
"бухаться","negative"
"бухнуться","negative"
"бушевание","negative"
"бушевать","negative"
"буян","negative"
"буянить","negative"
"буянство","negative"
"бытовуха","negative"
"бычиться","negative"
"бюрократ","negative"
"бюрократизация","negative"
"бюрократизировать","negative"
"бюрократизм","negative"
"бюрократичный","negative"
"бюрократия","negative"
"бюрократка","negative"
"бюрократский","negative"
"бяка","negative"
"важничанье","negative"
"важничать","negative"
"вакханалия","negative"
"валить","negative"
"вальяжность","negative"
"вампир","negative"
"вампиресса","negative"
"вампиризм","negative"
"вампирка","negative"
"вампирша","negative"
"вандал","negative"
"вандализм","negative"
"варвар","negative"
"варварски","negative"
"варварский","negative"
"варварство","negative"
"варикоз","negative"
"варикозный","negative"
"василиск","negative"
"ваххабитский","negative"
"вбивание","negative"
"вброс","negative"
"вбухать","negative"
"вбухивать","negative"
"вбухнуть","negative"
"вваливаться","negative"
"ввалить","negative"
"ввалиться","negative"
"ввергать","negative"
"ввергаться","negative"
"ввергнуть","negative"
"ввергнуться","negative"
"ввязаться","negative"
"ввязывать","negative"
"ввязываться","negative"
"вглухую","negative"
"вгонять","negative"
"вгорячах","negative"
"вгрызаться","negative"
"вгрызться","negative"
"вдавиться","negative"
"вдавливаться","negative"
"вдалбливать","negative"
"вдарить","negative"
"вдоветь","negative"
"вдовец","negative"
"вдовство","negative"
"вдовствовать","negative"
"вдовушка","negative"
"вдовый","negative"
"вдолбить","negative"
"вдребезги","negative"
"вдрызг","negative"
"вдунуть","negative"
"вдуть","negative"
"ведьма","negative"
"ведьмак","negative"
"ведьмовство","negative"
"велеть","negative"
"венерический","negative"
"вензаболевание","negative"
"вербовать","negative"
"вербовка","negative"
"вербовочный","negative"
"вербовщик","negative"
"верещание","negative"
