;word;type;emotT;emotPT;X;
235;Баловник; устар. ;ДОБРОТА; 11.8. Человек как средоточие и носитель эмоций.;pos;
236;Баловство; разг. ;ДОБРОТА; 11.2. Эмоциональное отношение.;pos;
237;Барский ;0;ВЫСОКОМЕРИЕ; 8.1. Эмоциональное состояние.;neg;
238;Барственно ;0;ВЫСОКОМЕРИЕ; 8.5. Внешнее выражение эмоций.;neg;
239;Барственность ;0;ВЫСОКОМЕРИЕ; 8.7. Эмоциональное качество.;neg;
240;Барственный ;0;ВЫСОКОМЕРИЕ; 8.5. Внешнее выражение эмоций.;neg;
242;Басурман; устар. ;БЕССТЫДСТВО; 3.8. Человек как средоточие и носитель;neg;
243;Басурманин; устар. ;БЕССТЫДСТВО; 3.8. Человек как средоточие и носитель эмоций.;neg;
244;Беганье; разг. ;БЕСПОКОЙСТВО; 1.5. Внешнее выражение эмоций.;neg;
246;Беготня; разг. ;БЕСПОКОЙСТВО; 1.5. Внешнее выражение эмоций.;neg;
247;Беда ;0;ГОРЕ; 9.1. Эмоциональное состояние.;neg;
248;Бедный ;0;ГОРЕ; 9.6. Эмоциональная характеризация.;neg;
252;Бедняга; разг. ;ГОРЕ; 9.6. Эмоциональная характеризация.;neg;
253;Бедняга; разг. ;ГОРЕ; 9.8. Человек как средоточие и носитель эмоций.;neg;
254;Бедняжка; разг. ;ГОРЕ; 9.6. Эмоциональная характеризация.;neg;
255;Бедняжка; разг. ;ГОРЕ; 9.8. Человек как средоточие и носитель эмоций.;neg;
256;Бедняк; разг. ;ГОРЕ; 9.6. Эмоциональная характеризация.;neg;
257;Бедняк; разг. ;ГОРЕ; 9.8. Человек как средоточие и носитель эмоций.;neg;
258;Бедовать; разг.-сниж. ;ГОРЕ; 9.1. Эмоциональное состояние.;neg;
259;Бедовый; разг. -сниж. ;БЕССТРАШИЕ; 2.6. Эмоциональная характеризация.;pos;
260;Бедолага; разг. ;ГОРЕ; 9.6. Эмоциональная характеризация.;neg;
261;Бедолага; разг. ;ГОРЕ; 9.8. Человек как средоточие и носитель эмоций.;neg;
262;Бедолажный; разг.-сниж. ;ГОРЕ; 9.6. Эмоциональная характеризация.;neg;
263;Бедственный; разг. ;ГОРЕ; 9.6. Эмоциональная характеризация.;neg;
264;Бедствие ;0;ГОРЕ; 9.1. Эмоциональное состояние.;neg;
265;Бедствовать ;0;ГОРЕ; 9.1. Эмоциональное состояние.;neg;
268;Безбоязненно ;0;БЕССТРАШИЕ; 2.6. Эмоциональная характеризация.;pos;
269;Безбоязненность ;0;БЕССТРАШИЕ; 2.7. Эмоциональное качество.;pos;
270;Безбоязненный ;0;БЕССТРАШИЕ; 2.6. Эмоциональная характеризация.;pos;
271;Безбоязный; разг.-сниж. ;БЕССТРАШИЕ; 2.6. Эмоциональная характеризация.;pos;
274;Безволие ;0;СМИРЕНИЕ; 31.7. Эмоциональное качество.;pos;
275;Безвольный ;0;СМИРЕНИЕ; 31.6. Эмоциональная характеризация.;pos;
276;Безвыходность ;0;НЕВЕРИЕ; 22.1. Эмоциональное состояние.;neg;
277;Безвыходный ;0;НЕВЕРИЕ; 22.6. Эмоциональная характеризация.;neg;
280;Безгневно ;0;СМИРЕНИЕ; 31.5. Внешнее выражение эмоций.;pos;
281;Безгневность ;0;СМИРЕНИЕ; 31.7. Эмоциональное качество.;pos;
282;Безгневный ;0;СМИРЕНИЕ; 31.6. Эмоциональная характеризация.;pos;
283;Бездолье; трад.-поэт., разг. ;ГОРЕ; 9.1. Эмоциональное состояние.;neg;
284;Бездольный; трад.-поэт., разг.-сниж. ;ГОРЕ; 9.6. Эмоциональная характеризация.;neg;
285;Бездушие ;0;ЖЕСТОКОСТЬ; 15.7. Эмоциональное качество.;neg;
286;Бездушие ;0;РАВНОДУШИЕ; 29.7. Эмоциональное качество.;neg;
287;Бездушно ;0;ЖЕСТОКОСТЬ; 15.5. Внешнее выражение эмоций.;neg;
288;Бездушность ;0;ЖЕСТОКОСТЬ; 15.7. Эмоциональное качество.;neg;
289;Бездушность ;0;РАВНОДУШИЕ; 29.7. Эмоциональное качество.;neg;
290;Бездушный ;0;ЖЕСТОКОСТЬ; 15.6. Эмоциональная характеризация.;neg;
291;Бездушный ;0;РАВНОДУШИЕ; 29.1. Эмоциональное состояние.;neg;
292;Бездушный ;0;РАВНОДУШИЕ; 29.3. Становление эмоционального состояния и отношения.;neg;
293;Бездушный ;0;РАВНОДУШИЕ; 29.6. Эмоциональная характеризация.;neg;
294;Безжалостно ;0;ЖЕСТОКОСТЬ; 15.5. Внешнее выражение эмоций.;neg;
295;Безжалостность ;0;ЖЕСТОКОСТЬ; 15.7. Эмоциональное качество.;neg;
296;Безжалостный ;0;ЖЕСТОКОСТЬ; 15.1. Эмоциональное состояние.;neg;
297;Безжалостный ;0;ЖЕСТОКОСТЬ; 15.6. Эмоциональная характеризация.;neg;
298;Беззаботно ;0;РАДОСТЬ; 30.5. Внешнее выражение эмоций.;pos;
299;Беззаботность ;0;РАДОСТЬ; 30.1. Эмоциональное состояние.;pos;
300;Беззаботный ;0;РАДОСТЬ; 30.1. Эмоциональное состояние.;pos;
301;Беззаботный ;0;РАДОСТЬ; 30.5. Внешнее выражение эмоций.;pos;
302;Беззаботный ;0;РАДОСТЬ; 30.6. Эмоциональная характеризация.;pos;
303;Беззаботность ;0;РАДОСТЬ; 30.7. Эмоциональное качество.;pos;
304;Беззаветность ;0;БЕССТРАШИЕ; 2.7. Эмоциональное качество.;pos;
305;Беззаветный; высок. ;БЕССТРАШИЕ; 2.6. Эмоциональная характеризация.;pos;
306;Беззастенчиво ;0;БЕССТЫДСТВО; 3.5. Внешнее выражение эмоций.;neg;
307;Беззастенчивость ;0;БЕССТЫДСТВО; 3.7. Эмоциональное качество.;neg;
308;Беззастенчивость ;0;ВЫСОКОМЕРИЕ; 8.7. Эмоциональное качество.;neg;
309;Беззастенчивый ;0;БЕССТЫДСТВО; 3.6. Эмоциональная характеризация.;neg;
310;Беззастенчивый ;0;ВЫСОКОМЕРИЕ; 8.6. Эмоциональная характеризация.;neg;
311;Беззлобие ;0;ДОБРОТА; 11.1. Эмоциональное состояние.;pos;
312;Беззлобие ;0;ДОБРОТА; 11.7. Эмоциональное качество.;pos;
313;Беззлобие ;0;СМИРЕНИЕ; 31.7. Эмоциональное качество.;pos;
314;Беззлобно ;0;ДОБРОТА; 11.5. Внешнее выражение эмоций.;pos;
315;Беззлобно ;0;СМИРЕНИЕ; 31.5. Внешнее выражение эмоций.;pos;
316;Беззлобность ;0;ДОБРОТА; 11.7. Эмоциональное качество.;pos;
317;Беззлобный ;0;ДОБРОТА; 11.5. Внешнее выражение эмоций.;pos;
318;Беззлобный ;0;ДОБРОТА; 11.6. Эмоциональная характеризация.;pos;
319;Беззлобный ;0;СМИРЕНИЕ; 31.6. Эмоциональная характеризация.;pos;
320;Безмятежно ;0;СПОКОЙСТВИЕ; 33.5. Внешнее выражение эмоций.;pos;
321;Безмятежность ;0;СПОКОЙСТВИЕ; 33.1. Эмоциональное состояние.;pos;
